Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[55.203410235233605],[0.0005542705841594187],0.0003924459999993246
Total Media,55.203410235233605,0.0005542705841594187,0.0003924459999993246
Carpeta 1,[222.0367167179793],[0.0022112127464096547],0.00047006399999993675
Total Media,138.62006347660645,0.0013827416652845367,0.0004312549999996307
Carpeta 2,[57.5],[0.000573591832052311],0.00044173400000069307
Total Media,111.58004231773764,0.0011130250542071283,0.0004347479999999848
Carpeta 3,[139.36250702650432],[0.0013785438010812134],0.00043296299999973087
Total Media,118.5256584949293,0.0011794047409256496,0.00043430174999992133
Carpeta 4,[139.39545101505792],[0.0013701953232455007],0.00044819799999906706
Total Media,122.69961699895502,0.00121756285738962,0.0004370809999997505
Carpeta 5,[253.85845765717386],[0.002504066026397842],0.0004583960000008602
Total Media,144.55942377532483,0.0014319800522243234,0.00044063349999993545
Carpeta 6,[197.78883832792053],[0.0019531613604558324],0.00042435499999982085
Total Media,152.16362585426708,0.0015064345248288248,0.00043830799999991906
Carpeta 7,[48.0],[0.00047448646725054813],0.0004656860000000762
Total Media,139.1431726224837,0.00137744101763154,0.0004417302499999387
Carpeta 8,[313.32050155364414],[0.0031139762124247155],0.0005870980000004522
Total Media,158.49620917039042,0.0015703893726085596,0.000457882222222218
Carpeta 9,[67.76611088265135],[0.0006661456706662619],0.00044285299999913263
Total Media,149.4231993416165,0.0014799650024143298,0.00045637929999990944
Carpeta 10,[62.36579222838918],[0.0006115012768991364],0.0004596609999989454
Total Media,141.50888960405038,0.0014010137546402212,0.0004566776363634582
Carpeta 11,[112.6553191813291],[0.001103063455527825],0.0004747520000005778
Total Media,139.10442540215695,0.0013761845630475215,0.00045818383333321816
Carpeta 12,[75.01575826937187],[0.0007369260750167914],0.00043767399999872225
Total Media,134.17452793040425,0.0013270108331990037,0.00045660615384594924
Carpeta 13,[97.01175317195157],[0.0009649262286095951],0.00047565899999924
Total Media,131.5200440190862,0.001301147647156903,0.00045796707142832716
Carpeta 14,[134.320745772573],[0.001339370162210994],0.00044118299999951205
Total Media,131.70675746931866,0.0013036958148271757,0.0004568481333330728
Carpeta 15,[171.90526644424972],[0.0017402929397724177],0.000451749999999862
Total Media,134.21916428025185,0.0013309831351362537,0.0004565294999997471
Carpeta 16,[81.71153442756622],[0.0008241369914427537],0.00046676999999917257
Total Media,131.13048017127034,0.0013011686560954595,0.0004571318823526545
Carpeta 17,[171.01974984057597],[0.0017416872030366608],0.0004380439999991381
Total Media,133.34655070845398,0.001325641908703304,0.0004560714444441258
Carpeta 18,[457.00047905388055],[0.004671469099377275],0.0004339469999976586
Total Media,150.38096798979223,0.001501738076633513,0.0004549069999995749
Carpeta 19,[149.38173145559995],[0.0015378062627005471],0.00043327800000270145
Total Media,150.3310061630826,0.0015035414859368647,0.00045382554999973124
Carpeta 20,[268.3508513168199],[0.0027294913440102896],0.0004047069999977282
Total Media,155.95099878945106,0.001561920050607028,0.0004514865714282073
Carpeta 21,[81.34533264009951],[0.0008218692677022655],0.0004406350000003556
Total Media,152.5598321462987,0.0015282813786568115,0.00045099331818148676
Carpeta 22,[67.5],[0.0006744907594765945],0.00043629900000041744
Total Media,148.8615785747205,0.0014911600473881063,0.00045035443478230985
Carpeta 23,[99.5],[0.0009925038528101815],0.0004150809999998728
Total Media,146.80484613410715,0.0014703827059473595,0.0004488847083330416
Carpeta 24,[43.0],[0.0004283423152400207],0.0004553929999993045
Total Media,142.65265228874287,0.001428701090319066,0.0004491450399996921
Carpeta 25,[139.11849457117205],[0.0013740776786129874],0.00042872899999935044
Total Media,142.51672314575939,0.0014266001898688321,0.0004483598076919867
Carpeta 26,[288.0987261302216],[0.0028307833191373133],0.0004586009999982821
Total Media,147.90864918222093,0.0014786069724343311,0.00044873911111073837
Carpeta 27,[80.54550770061178],[0.0007856641959111159],0.0004652950000014755
Total Media,145.5028227007349,0.0014538590161299308,0.0004493303928568361
Carpeta 28,[130.3762363357091],[0.0012635315197676866],0.00046897900000075765
Total Media,144.9812162743547,0.0014472959990139912,0.0004500079310342127
Carpeta 29,[209.19289465953625],[0.002017085007395934],0.00045093499999993014
Total Media,147.12160555386075,0.001466288965960056,0.00045003883333306997
Carpeta 30,[121.45262096280203],[0.001164867891416916],0.00041713499999929127
Total Media,146.29357379285887,0.0014565657054909226,0.000448977419354561
Carpeta 31,[73.22256860844209],[0.0007022568739870239],0.0004478910000003111
Total Media,144.01010488084583,0.0014329935545064256,0.00044894346874974067
Carpeta 32,[72.0],[0.0006966348665750714],0.00045554899999800114
Total Media,141.82798049051718,0.0014106796548721422,0.00044914363636332433
Carpeta 33,[98.19334190247173],[0.0009647369823149523],0.0004685710000025267
Total Media,140.54460876733935,0.0013975636939145778,0.00044971502941153614
Carpeta 34,[61.05383221696684],[0.000597600276190151],0.00045796799999919813
Total Media,138.27344372304302,0.0013747075962653084,0.00044995082857118363
Carpeta 35,[63.5],[0.0006216257225787182],0.0004493389999993269
Total Media,136.19640361962513,0.0013537886553295698,0.0004499338333330765
Carpeta 36,[241.89587980611395],[0.0023645851622550815],0.0004735690000003956
Total Media,139.05314621926,0.00138110747984107,0.00045057262162138246
Carpeta 37,[58.453840812595445],[0.0005706683147362883],0.00047399500000011585
Total Media,136.93211186645303,0.0013597801333909442,0.00045118899999977016
Carpeta 38,[29.635665658279322],[0.00028917922814034947],0.0004314619999981062
Total Media,134.1809209380383,0.0013323288281281084,0.00045068317948690695
Carpeta 39,[344.3772000417666],[0.003305709061465554],0.00047596499999968955
Total Media,139.4358279156315,0.0013816633339615446,0.0004513152249997265
Carpeta 40,[103.09905890402297],[0.000994718190233369],0.00045621599999989826
Total Media,138.5495652568118,0.0013722256475291502,0.0004514347560972917
